medie_elev,pozitie_elev,sector,profil,specializare,limba,bilingv,medie_liceu,ultima_pozitie_2025,ultima_pozitie_2024,ultima_pozitie_2023,pozitie_medie_intrare,diferenta_pozitie,admis
9.56,762,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,138,1
9.56,749,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,151,1
10.0,34,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,866,1
10.0,1,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,899,1
9.48,1011,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-111,0
9.92,493,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,407,1
9.4,1006,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-106,0
9.53,946,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-46,0
9.16,1507,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-607,0
8.68,2045,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,-1145,0
10.0,1,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,899,1
9.73,769,6,Real,Matematica-Informatica,Limba romana,,9.55,920,870,910,900,131,1
8.83,2623,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-406,0
9.1,2120,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,97,1
8.55,3163,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-946,0
9.01,2266,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-49,0
8.6,2876,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-659,0
9.38,1901,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,316,1
9.25,2107,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,110,1
9.55,1775,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,442,1
9.58,1674,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,543,1
9.71,1345,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,872,1
8.85,2679,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-462,0
9.27,2079,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,138,1
9.29,2052,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,165,1
9.93,1202,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,1015,1
8.81,2578,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-361,0
9.84,1158,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,1059,1
9.15,2241,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-24,0
9.28,2090,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,127,1
9.44,1744,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,473,1
9.23,1992,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,225,1
8.7,2956,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-739,0
8.8,2797,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-580,0
9.04,2248,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-31,0
8.51,3133,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-916,0
8.86,2574,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-357,0
9.74,1324,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,893,1
9.23,2131,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,86,1
9.79,1104,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,1113,1
8.94,2486,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-269,0
9.61,1663,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,554,1
9.75,1408,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,809,1
9.28,1922,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,295,1
9.8,1364,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,853,1
9.61,1684,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,533,1
9.69,1401,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,816,1
9.05,2248,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-31,0
10.0,1022,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,1195,1
8.99,2346,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-129,0
9.48,1881,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,336,1
9.24,2074,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,143,1
8.93,2426,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-209,0
9.59,1411,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,806,1
8.51,3336,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-1119,0
9.72,1290,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,927,1
9.44,1805,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,412,1
9.11,2110,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,107,1
9.72,1366,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,851,1
9.37,1786,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,431,1
8.46,3219,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-1002,0
8.41,3396,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-1179,0
10.0,1017,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,1200,1
9.67,1529,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,688,1
8.65,2917,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-700,0
9.02,2254,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-37,0
9.68,1534,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,683,1
9.19,2186,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,31,1
9.42,1677,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,540,1
9.75,1279,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,938,1
9.9,1065,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,1152,1
8.74,2810,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-593,0
9.83,1339,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,878,1
9.7,1471,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,746,1
9.26,2111,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,106,1
8.27,3397,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-1180,0
9.28,2101,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,116,1
8.29,3340,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-1123,0
8.52,3092,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-875,0
9.88,1163,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,1054,1
8.41,3334,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-1117,0
8.9,2765,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-548,0
8.5,3081,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-864,0
8.44,3366,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-1149,0
9.34,1824,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,393,1
9.53,1794,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,423,1
8.95,2441,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-224,0
8.64,2953,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-736,0
9.45,1936,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,281,1
8.68,2988,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-771,0
9.71,1345,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,872,1
8.65,2826,6,Umanist,Filologie,Limba romana,,9.15,2200,2150,2300,2217,-609,0
8.81,2167,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-617,0
8.95,1965,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-415,0
9.26,1302,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,248,1
9.87,393,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,1157,1
9.31,1554,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-4,0
9.27,1551,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-1,0
8.81,2254,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-704,0
10.0,430,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,1120,1
9.44,1034,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,516,1
9.57,1051,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,499,1
8.36,2737,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-1187,0
9.48,1012,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,538,1
9.45,1160,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,390,1
9.9,574,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,976,1
9.56,1026,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,524,1
8.86,2232,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-682,0
9.53,964,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,586,1
9.12,1815,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-265,0
9.25,1419,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,131,1
8.81,2062,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-512,0
9.07,1592,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-42,0
9.17,1589,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-39,0
8.72,2166,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-616,0
9.76,572,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,978,1
9.45,1337,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,213,1
9.3,1254,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,296,1
8.88,2133,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-583,0
9.04,1641,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-91,0
9.55,1162,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,388,1
8.67,2281,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-731,0
9.43,1161,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,389,1
9.34,1513,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,37,1
9.32,1468,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,82,1
8.98,1723,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-173,0
9.87,403,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,1147,1
9.75,835,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,715,1
9.57,943,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,607,1
8.72,2173,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-623,0
9.5,1024,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,526,1
9.96,379,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,1171,1
10.0,433,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,1117,1
8.63,2276,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-726,0
9.05,1752,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-202,0
9.71,663,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,887,1
8.48,2707,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-1157,0
9.99,363,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,1187,1
9.32,1524,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,26,1
8.86,1907,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-357,0
8.67,2221,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-671,0
9.76,762,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,788,1
9.36,1495,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,55,1
8.76,2055,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-505,0
9.57,1051,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,499,1
9.05,1606,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-56,0
9.75,874,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,676,1
8.63,2581,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-1031,0
9.89,471,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,1079,1
9.01,1740,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-190,0
9.07,1663,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-113,0
9.21,1486,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,64,1
9.85,454,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,1096,1
9.56,1074,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,476,1
9.74,822,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,728,1
8.99,1997,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-447,0
9.95,527,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,1023,1
9.91,417,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,1133,1
9.67,786,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,764,1
9.65,755,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,795,1
9.51,1028,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,522,1
8.73,2326,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-776,0
8.9,1832,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-282,0
9.73,864,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,686,1
9.72,735,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,815,1
10.0,407,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,1143,1
9.73,856,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,694,1
9.05,1758,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-208,0
9.67,915,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,635,1
9.63,1010,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,540,1
8.55,2589,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-1039,0
9.16,1667,1,Real,Matematica-Informatica,Limba romana,Limba engleza,9.2,1600,1500,1550,1550,-117,0
8.4,4760,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-360,0
8.5,4445,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-45,0
8.6,4540,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-140,0
8.71,4259,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,141,1
9.02,3743,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,657,1
8.87,4176,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,224,1
8.53,4525,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-125,0
9.03,3583,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,817,1
8.72,4264,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,136,1
9.02,3751,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,649,1
8.74,4267,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,133,1
8.64,4338,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,62,1
8.06,5163,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-763,0
8.59,4248,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,152,1
8.14,5061,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-661,0
9.38,3243,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,1157,1
8.92,3958,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,442,1
8.18,5171,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-771,0
8.75,4351,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,49,1
8.37,4906,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-506,0
8.98,3764,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,636,1
8.3,4893,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-493,0
9.04,3667,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,733,1
9.01,3799,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,601,1
8.19,5113,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-713,0
8.49,4529,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-129,0
9.36,3319,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,1081,1
9.22,3583,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,817,1
8.37,4715,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-315,0
8.81,3906,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,494,1
8.81,4245,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,155,1
8.57,4420,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-20,0
9.21,3502,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,898,1
8.73,4359,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,41,1
8.41,4864,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-464,0
9.39,3364,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,1036,1
8.56,4412,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-12,0
8.01,5287,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-887,0
8.12,5026,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-626,0
8.13,5238,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-838,0
9.42,3311,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,1089,1
8.09,4987,2,Tehnic,Tehnic,Limba romana,,8.6,4300,4500,4400,4400,-587,0
